center2022_01_24_11_25_737033,left2022_01_24_11_25_737033,right2022_01_24_11_25_737033,2.75335150945466e-06,0.75,0.0,25.610482847379547
center2022_01_24_11_25_837435,left2022_01_24_11_25_837435,right2022_01_24_11_25_837435,-1.4426504094444681e-05,0.75,0.0,26.44103816256478
center2022_01_24_11_25_837130,left2022_01_24_11_25_837130,right2022_01_24_11_25_837130,-1.1476749932626262e-06,0.0,0.30000001192092896,27.789661915165013
center2022_01_24_11_25_737272,left2022_01_24_11_25_737272,right2022_01_24_11_25_737272,-1.5362971907961764e-06,0.0,0.30000001192092896,23.79249156921018
center2022_01_24_11_25_237378,left2022_01_24_11_25_237378,right2022_01_24_11_25_237378,-4.6947974396971404e-07,0.6676387190818787,0.0,21.044758493335042
center2022_01_24_11_25_337110,left2022_01_24_11_25_337110,right2022_01_24_11_25_337110,-4.6947974396971404e-07,0.6676387190818787,0.0,21.044758493335042
center2022_01_24_11_25_736845,left2022_01_24_11_25_736845,right2022_01_24_11_25_736845,9.962234344129683e-07,0.75,0.0,20.629789072501293
center2022_01_24_11_25_837247,left2022_01_24_11_25_837247,right2022_01_24_11_25_837247,4.728019121102989e-06,0.75,0.0,20.680399585428244
center2022_01_24_11_25_037394,left2022_01_24_11_25_037394,right2022_01_24_11_25_037394,4.728019121102989e-06,0.75,0.0,20.680399585428244
center2022_01_24_11_25_437617,left2022_01_24_11_25_437617,right2022_01_24_11_25_437617,0.0022447837982326746,0.75,0.0,21.74122545762764
center2022_01_24_11_25_736889,left2022_01_24_11_25_736889,right2022_01_24_11_25_736889,0.020536156371235847,0.75,0.0,22.572100863044554
center2022_01_24_11_25_837480,left2022_01_24_11_25_837480,right2022_01_24_11_25_837480,0.020536156371235847,0.75,0.0,22.572100863044554
center2022_01_24_11_25_936943,left2022_01_24_11_25_936943,right2022_01_24_11_25_936943,0.020536156371235847,0.75,0.0,22.572100863044554
center2022_01_24_11_25_037673,left2022_01_24_11_25_037673,right2022_01_24_11_25_037673,0.055257461965084076,0.75,0.0,23.538515445868068
center2022_01_24_11_25_137406,left2022_01_24_11_25_137406,right2022_01_24_11_25_137406,0.055257461965084076,0.75,0.0,23.538515445868068
center2022_01_24_11_25_237139,left2022_01_24_11_25_237139,right2022_01_24_11_25_237139,0.055257461965084076,0.75,0.0,23.538515445868068
center2022_01_24_11_25_336873,left2022_01_24_11_25_336873,right2022_01_24_11_25_336873,0.055257461965084076,0.75,0.0,23.538515445868068
center2022_01_24_11_25_437234,left2022_01_24_11_25_437234,right2022_01_24_11_25_437234,0.10521702468395233,0.75,0.0,24.43425909545919
center2022_01_24_11_25_536967,left2022_01_24_11_25_536967,right2022_01_24_11_25_536967,0.10521702468395233,0.75,0.0,24.43425909545919
